species,site,count,latin,纲,目,Order,科,Family,属
阿拉伯光鳃鱼,美济礁,2,Chromis flavaxilla,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
安汶雀鲷,美济礁,1,Pomacentrus amboinensis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
鞭蝴蝶鱼,美济礁,6,Chaetodon ephippium,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
鞍斑锦鱼,美济礁,35,Thalassoma hardwicki,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,锦鱼属
鞍斑锦鱼,永暑礁北沙洲,65,Thalassoma hardwicki,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,锦鱼属
暗色刺尾鱼,美济礁,3,Acanthurus mata,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
暗色刺尾鱼,南扉暗沙,5,Acanthurus mata,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
暗色刺尾鱼,七连屿,7,Acanthurus mata,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
翱翔衰鲉,美济礁,1,Pterois volitans,辐鳍鱼纲,鲉形目,Scorpaeniformes,鲉科,Scorpaenidae,蓑鲉属
八带拟唇鱼,漫步暗沙,1,Pseudocheilinus octotaenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
八带拟唇鱼,美济礁,135,Pseudocheilinus octotaenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
八带拟唇鱼,南扉暗沙,11,Pseudocheilinus octotaenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
八带拟唇鱼,七连屿,7,Pseudocheilinus octotaenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
八带拟唇鱼,永暑礁北沙洲,23,Pseudocheilinus octotaenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
巴都盔鱼,美济礁,5,Coris batuensis,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,盔鱼属
巴都盔鱼,永暑礁北沙洲,42,Coris batuensis,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,盔鱼属
巴氏异齿鳚,美济礁,1,Ecsenius bathi,辐鳍鱼纲,鲈形目,Perciformes,鳚科,Soleidae,异齿鳚属
白斑刺尻鱼,漫步暗沙,3,Centropyge tibicen,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,刺尻鱼属
白斑刺尻鱼,南扉暗沙,2,Centropyge tibicen,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,刺尻鱼属
白斑笛鲷,美济礁,6,Lutjanus bohar,辐鳍鱼纲,鲈形目,Perciformes,笛鲷科,Lutjanidae,笛鲷属
白背双锯鱼,美济礁,6,Amphiprion sandracinos,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,双锯鱼属
白背双锯鱼,七连屿,14,Amphiprion sandracinos,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,双锯鱼属
白背双锯鱼,永乐环礁,2,Amphiprion sandracinos,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,双锯鱼属
白边侧牙鲈,漫步暗沙,1,Variola albimarginata,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,侧牙鲈属
