"X.U.FEFF.date","camera","video","timestamp","species","count","site","latin","Order","Family","Primary_functional_group","Secondary_functional_group","Max_length","common_length","MaxLengthTL","Troph","ComDepthMin","ComDepthMax","TempPrefMean","FeedingPath","diet_breadth","TL_group","abund"
"5.5","1","GH010055.MP4","00:00-00:10","èÎ³Ý´ÌÎ²Óã",2,"Meiji","Ctenochaetus striatus","Perciformes","Acanthuridae","Omnivore","omnivore",26,18,26,2,6,30,27.8,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","00:00-00:10","´Ì¸ÇÄâ»¨õl",1,"Meiji","Pseudanthias dispar","Perciformes","Serranidae","Carnivore","generalist carnivore (fish and invertebrates)",NA,NA,9.5,3.329999924,1,15,27.4,"pelagic",28,"< 10",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:00-00:10","Ë«°ß¹âÈúÓã",5,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000209582093305948
"5.5","1","GH010055.MP4","00:00-00:10","Ò¸°ßÆÕÌáÓã",1,"Meiji","Bodianus axillaris","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",20,NA,24.39999962,3.420000076,2,40,27.5,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:00-00:10","ÖéºûµûÓã",1,"Meiji","Chaetodon kleirnii","Perciformes","Chaetodontidae","Omnivore","omnivore",15,NA,15,2.9,4,61,27.8,NA,28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:00-00:10","ºÚ±ß½ÇÁÛ÷ƒ",1,"Meiji","Melichthys vidua","Tetraodontiformes","Balistidae","Omnivore","omnivore",NA,NA,40,3.380000114,9,33,27.6,"benthic",28,"40-50",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:00-00:10","Â¡±³µÑöô",1,"Meiji","Lutjanus gibbus","Perciformes","Lutjanidae","Carnivore","generalist carnivore (fish and invertebrates)",56.8,45,50,4.119999886,17,73,28,"pelagic",28,"50-100",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:00-00:10","¶àÁÛÏ¼µûÓã",1,"Meiji","Hemitaurichthys polylepis","Perciformes","Chaetodontidae","Planktivore","planktivore",18,NA,18,3.089999914,8,32,27.7,"pelagic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:10-00:20","ºÚ±ß½ÇÁÛ÷ƒ",1,"Meiji","Melichthys vidua","Tetraodontiformes","Balistidae","Omnivore","omnivore",NA,NA,40,3.380000114,9,33,27.6,"benthic",28,"40-50",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:10-00:20","¸ñÎÆº£ÖíÓã",1,"Meiji","Halichoeres hortulanus","Perciformes","Labridae","Carnivore","invertivore",27,NA,27,3.400000095,1,30,27.6,"benthic",28,"20-30",4.19164186611896e-05
